,Aerolinea,Fecha Salida,Hora Salida,Vuelo Salida,Destino,%LF DEP,Mes,Dia Dep,categoria
5334,AVA,2025-02-01,5:22:00 p.m.,9343,BOG,93.92,febrero,sbado,AAA
5335,AVA,2025-02-01,5:11:00 p.m.,9313,BOG,74.59,febrero,sbado,AAA
5336,AVA,2025-02-01,6:53:00 p.m.,9375,BOG,93.37,febrero,sbado,AAA
5337,AVA,2025-02-01,7:11:00 p.m.,8415,BOG,80.66,febrero,sbado,AA
5338,AVA,2025-02-01,7:48:00 p.m.,9261,BOG,44.2,febrero,sbado,A
5339,AVA,2025-02-01,8:20:00 p.m.,9331,BOG,34.25,febrero,sbado,AA
5340,AVA,2025-02-01,8:38:00 p.m.,9315,BOG,56.91,febrero,sbado,A
5341,AVA,2025-02-01,9:28:00 p.m.,9569,BOG,17.13,febrero,sbado,A
5342,AVA,2025-02-01,9:50:00 p.m.,9335,BOG,32.04,febrero,sbado,AA
5343,AVA,2025-02-02,9:22:00 a.m.,9243,BOG,91.16,enero,domingo,AA
5344,AVA,2025-02-02,4:32:00 a.m.,9653,BOG,98.34,febrero,domingo,AA
5345,AVA,2025-02-02,7:14:00 a.m.,8427,BOG,86.74,febrero,domingo,AAA
5346,AVA,2025-02-02,8:34:00 a.m.,8451,BOG,84.53,febrero,domingo,AAA
5347,AVA,2025-02-02,8:15:00 a.m.,9463,BOG,91.16,febrero,domingo,AAA
5348,AVA,2025-02-02,8:52:00 a.m.,9323,BOG,94.48,febrero,domingo,A
5349,AVA,2025-02-02,9:10:00 a.m.,9307,BOG,94.48,febrero,domingo,AA
5350,AVA,2025-02-02,9:58:00 a.m.,9557,BOG,71.82,febrero,domingo,AA
5351,AVA,2025-02-02,11:52:00 a.m.,9339,BOG,101.1,febrero,domingo,A
5352,AVA,2025-02-02,12:59:00 p.m.,9329,BOG,96.13,febrero,domingo,AA
5353,AVA,2025-02-02,1:53:00 p.m.,9337,BOG,95.58,febrero,domingo,AAA
5354,AVA,2025-02-02,4:47:00 p.m.,9313,BOG,101.1,febrero,domingo,AAA
5355,AVA,2025-02-02,4:39:00 p.m.,8405,BOG,101.1,febrero,domingo,A
5356,AVA,2025-02-02,5:22:00 p.m.,9343,BOG,97.24,febrero,domingo,AAA
5357,AVA,2025-02-02,6:26:00 p.m.,9375,BOG,98.34,febrero,domingo,AAA
5358,AVA,2025-02-02,7:16:00 p.m.,9553,BOG,95.03,febrero,domingo,AA
5359,AVA,2025-02-02,7:35:00 p.m.,8415,BOG,97.79,febrero,domingo,AA
5360,AVA,2025-02-02,7:44:00 p.m.,9261,BOG,91.71,febrero,domingo,A
5361,AVA,2025-02-02,8:45:00 p.m.,9315,BOG,87.29,febrero,domingo,A
5362,AVA,2025-02-02,9:26:00 p.m.,9569,BOG,95.03,febrero,domingo,A
5363,AVA,2025-02-02,10:02:00 p.m.,9335,BOG,91.16,febrero,domingo,AA
5364,AVA,2025-02-03,12:45:00 p.m.,9245,BOG,19.89,febrero,lunes,AA
5365,AVA,2025-02-03,9:07:00 a.m.,9323,BOG,98.9,febrero,lunes,A
5366,AVA,2025-02-03,4:30:00 a.m.,9653,BOG,91.16,febrero,lunes,AA
5367,AVA,2025-02-03,5:02:00 a.m.,9725,BOG,101.66,febrero,lunes,AA
5368,AVA,2025-02-03,6:37:00 a.m.,8435,BOG,101.66,febrero,lunes,AA
5369,AVA,2025-02-03,8:23:00 a.m.,9463,BOG,96.69,febrero,lunes,AAA
5370,AVA,2025-02-03,9:32:00 a.m.,9307,BOG,100.55,febrero,lunes,AA
5371,AVA,2025-02-03,8:50:00 a.m.,8451,BOG,100.55,febrero,lunes,AAA
5372,AVA,2025-02-03,10:12:00 a.m.,9557,BOG,97.24,febrero,lunes,AA
5373,AVA,2025-02-03,11:08:00 a.m.,9349,BOG,96.69,febrero,lunes,AAA
5374,AVA,2025-02-03,11:58:00 a.m.,9339,BOG,100.0,febrero,lunes,A
5375,AVA,2025-02-03,1:08:00 p.m.,9329,BOG,95.03,febrero,lunes,AA
5376,AVA,2025-02-03,1:47:00 p.m.,9337,BOG,97.79,febrero,lunes,AAA
5377,AVA,2025-02-03,4:25:00 p.m.,8405,BOG,95.03,febrero,lunes,A
5378,AVA,2025-02-03,4:41:00 p.m.,9313,BOG,86.19,febrero,lunes,AAA
5379,AVA,2025-02-03,5:21:00 p.m.,9343,BOG,93.37,febrero,lunes,AAA
5380,AVA,2025-02-03,6:23:00 p.m.,9375,BOG,94.48,febrero,lunes,AAA
5381,AVA,2025-02-03,6:58:00 p.m.,8415,BOG,43.65,febrero,lunes,AA
5382,AVA,2025-02-03,7:19:00 p.m.,9553,BOG,43.65,febrero,lunes,AA
5383,AVA,2025-02-03,7:46:00 p.m.,9261,BOG,76.24,febrero,lunes,A
5384,AVA,2025-02-03,8:52:00 p.m.,9315,BOG,87.85,febrero,lunes,A
5385,AVA,2025-02-03,9:35:00 p.m.,9569,BOG,88.95,febrero,lunes,A
5386,AVA,2025-02-03,10:01:00 p.m.,9335,BOG,36.46,febrero,lunes,AA
5387,AVA,2025-02-04,7:05:00 a.m.,8435,BOG,100.55,febrero,martes,AA
5388,AVA,2025-02-04,4:33:00 a.m.,9653,BOG,86.74,febrero,martes,AA
5389,AVA,2025-02-04,5:00:00 a.m.,9725,BOG,88.4,febrero,martes,AA
5390,AVA,2025-02-04,7:16:00 a.m.,8427,BOG,92.27,febrero,martes,AAA
5391,AVA,2025-02-04,8:36:00 a.m.,8451,BOG,101.1,febrero,martes,AAA
