,Aerolinea,Fecha Salida,Hora Salida,Vuelo Salida,Destino,%LF DEP,Mes,Dia Dep,Tipo dia
23,AVA,2024-07-01,8:36:00 p.m.,9355,BOG,97.24,julio,lunes,3
24,AVA,2024-07-01,9:53:00 p.m.,9327,BOG,94.48,julio,lunes,3
25,AVA,2024-07-01,10:26:00 p.m.,9335,BOG,97.24,julio,lunes,3
26,AVA,2024-07-02,6:32:00 a.m.,9243,BOG,97.79,julio,martes,0
27,AVA,2024-07-02,7:58:00 a.m.,9463,BOG,101.1,julio,martes,0
28,AVA,2024-07-02,5:25:00 a.m.,9245,BOG,90.06,julio,martes,0
29,AVA,2024-07-02,6:10:00 a.m.,9725,BOG,97.79,julio,martes,0
30,AVA,2024-07-02,4:58:00 a.m.,8435,BOG,87.85,julio,martes,0
31,AVA,2024-07-02,4:53:00 a.m.,8475,BOG,85.64,julio,martes,0
32,AVA,2024-07-02,4:30:00 a.m.,9653,BOG,98.9,julio,martes,0
33,AVA,2024-07-02,4:10:00 a.m.,8415,BOG,98.9,julio,martes,0
34,AVA,2024-07-02,7:29:00 a.m.,8427,BOG,76.8,julio,martes,0
35,AVA,2024-07-02,8:30:00 a.m.,8451,BOG,98.9,julio,martes,0
36,AVA,2024-07-02,8:55:00 a.m.,9311,BOG,100.0,julio,martes,0
37,AVA,2024-07-02,11:01:00 a.m.,9349,BOG,83.43,julio,martes,0
38,AVA,2024-07-02,12:36:00 p.m.,9329,BOG,98.34,julio,martes,0
39,AVA,2024-07-02,2:45:00 p.m.,9337,BOG,101.1,julio,martes,0
40,AVA,2024-07-02,2:51:00 p.m.,9303,BOG,98.34,julio,martes,0
41,AVA,2024-07-02,4:24:00 p.m.,9307,BOG,101.1,julio,martes,0
42,AVA,2024-07-02,5:25:00 p.m.,9553,BOG,103.31,julio,martes,0
43,AVA,2024-07-02,5:36:00 p.m.,9309,BOG,100.0,julio,martes,0
44,AVA,2024-07-02,6:03:00 p.m.,9343,BOG,96.69,julio,martes,0
45,AVA,2024-07-02,7:06:00 p.m.,9333,BOG,80.66,julio,martes,0
46,AVA,2024-07-02,7:10:00 p.m.,9375,BOG,100.55,julio,martes,0
47,AVA,2024-07-02,8:22:00 p.m.,9331,BOG,95.03,julio,martes,0
48,AVA,2024-07-02,8:45:00 p.m.,9355,BOG,97.79,julio,martes,0
49,AVA,2024-07-02,8:58:00 p.m.,9313,BOG,50.83,julio,martes,0
50,AVA,2024-07-02,10:30:00 p.m.,9327,BOG,95.58,julio,martes,0
51,AVA,2024-07-02,10:50:00 p.m.,9335,BOG,91.71,julio,martes,0
52,AVA,2024-07-03,11:38:00 a.m.,9351,BOG,95.03,junio,mircoles,1
53,AVA,2024-07-03,10:06:00 a.m.,9557,BOG,99.45,julio,mircoles,1
54,AVA,2024-07-03,4:10:00 a.m.,8445,BOG,80.66,julio,mircoles,1
55,AVA,2024-07-03,5:07:00 a.m.,8435,BOG,72.38,julio,mircoles,1
56,AVA,2024-07-03,4:36:00 a.m.,9653,BOG,37.57,julio,mircoles,1
57,AVA,2024-07-03,4:14:00 a.m.,8415,BOG,45.86,julio,mircoles,1
58,AVA,2024-07-03,4:56:00 a.m.,8475,BOG,47.51,julio,mircoles,1
59,AVA,2024-07-03,6:44:00 a.m.,9243,BOG,101.66,julio,mircoles,1
60,AVA,2024-07-03,7:29:00 a.m.,8427,BOG,103.47,julio,mircoles,1
61,AVA,2024-07-03,7:58:00 a.m.,9463,BOG,99.45,julio,mircoles,1
62,AVA,2024-07-03,8:30:00 a.m.,8451,BOG,101.1,julio,mircoles,1
63,AVA,2024-07-03,9:00:00 a.m.,9311,BOG,102.21,julio,mircoles,1
64,AVA,2024-07-03,10:59:00 a.m.,9349,BOG,98.61,julio,mircoles,1
65,AVA,2024-07-03,12:39:00 p.m.,9329,BOG,102.21,julio,mircoles,1
66,AVA,2024-07-03,2:04:00 p.m.,9301,BOG,95.58,julio,mircoles,1
67,AVA,2024-07-03,2:07:00 p.m.,9337,BOG,92.27,julio,mircoles,1
68,AVA,2024-07-03,2:40:00 p.m.,9303,BOG,99.45,julio,mircoles,1
69,AVA,2024-07-03,4:18:00 p.m.,9313,BOG,101.1,julio,mircoles,1
70,AVA,2024-07-03,5:16:00 p.m.,9553,BOG,103.87,julio,mircoles,1
71,AVA,2024-07-03,5:32:00 p.m.,9309,BOG,80.11,julio,mircoles,1
72,AVA,2024-07-03,5:58:00 p.m.,9343,BOG,96.69,julio,mircoles,1
73,AVA,2024-07-03,5:59:00 p.m.,9307,BOG,66.85,julio,mircoles,1
74,AVA,2024-07-03,6:33:00 p.m.,9375,BOG,102.76,julio,mircoles,1
75,AVA,2024-07-03,8:15:00 p.m.,9331,BOG,101.66,julio,mircoles,1
76,AVA,2024-07-03,9:50:00 p.m.,9355,BOG,96.13,julio,mircoles,1
77,AVA,2024-07-03,10:43:00 p.m.,9327,BOG,90.61,julio,mircoles,1
78,AVA,2024-07-03,10:50:00 p.m.,9335,BOG,79.56,julio,mircoles,1
79,AVA,2024-07-04,4:12:00 a.m.,8415,BOG,40.88,julio,jueves,3
80,AVA,2024-07-04,8:02:00 a.m.,9463,BOG,91.71,julio,jueves,3
81,AVA,2024-07-04,5:06:00 a.m.,8435,BOG,29.83,julio,jueves,3
82,AVA,2024-07-04,6:35:00 a.m.,9243,BOG,71.27,julio,jueves,3
83,AVA,2024-07-04,6:16:00 a.m.,9725,BOG,64.64,julio,jueves,3
84,AVA,2024-07-04,4:40:00 a.m.,9653,BOG,48.07,julio,jueves,3
85,AVA,2024-07-04,4:56:00 a.m.,8475,BOG,18.23,julio,jueves,3
86,AVA,2024-07-04,5:28:00 a.m.,9245,BOG,50.28,julio,jueves,3
87,AVA,2024-07-04,7:45:00 a.m.,8427,BOG,72.38,julio,jueves,3
88,AVA,2024-07-04,9:09:00 a.m.,9311,BOG,87.29,julio,jueves,3
89,AVA,2024-07-04,8:38:00 a.m.,8451,BOG,88.4,julio,jueves,3
90,AVA,2024-07-04,11:00:00 a.m.,9349,BOG,102.08,julio,jueves,3
91,AVA,2024-07-04,12:36:00 p.m.,9329,BOG,101.1,julio,jueves,3
92,AVA,2024-07-04,1:31:00 p.m.,9301,BOG,98.34,julio,jueves,3
93,AVA,2024-07-04,2:00:00 p.m.,9337,BOG,100.0,julio,jueves,3
94,AVA,2024-07-04,2:53:00 p.m.,9303,BOG,102.21,julio,jueves,3
95,AVA,2024-07-04,3:40:00 p.m.,9307,BOG,98.9,julio,jueves,3
96,AVA,2024-07-04,5:00:00 p.m.,9313,BOG,96.69,julio,jueves,3
97,AVA,2024-07-04,5:24:00 p.m.,9553,BOG,87.85,julio,jueves,3
98,AVA,2024-07-04,6:05:00 p.m.,9343,BOG,101.1,julio,jueves,3
99,AVA,2024-07-04,6:35:00 p.m.,9333,BOG,93.06,julio,jueves,3
100,AVA,2024-07-04,7:03:00 p.m.,9375,BOG,93.37,julio,jueves,3
101,AVA,2024-07-04,8:03:00 p.m.,9331,BOG,88.4,julio,jueves,3
102,AVA,2024-07-04,8:42:00 p.m.,9355,BOG,74.03,julio,jueves,3
103,AVA,2024-07-04,9:47:00 p.m.,9327,BOG,61.33,julio,jueves,3
104,AVA,2024-07-04,10:27:00 p.m.,9335,BOG,56.91,julio,jueves,3
105,AVA,2024-07-05,5:05:00 a.m.,8435,BOG,49.72,junio,viernes,2
106,AVA,2024-07-05,5:28:00 a.m.,9245,BOG,36.46,julio,viernes,2
107,AVA,2024-07-05,8:01:00 a.m.,9463,BOG,60.22,julio,viernes,2
108,AVA,2024-07-05,6:36:00 a.m.,9243,BOG,70.17,julio,viernes,2
109,AVA,2024-07-05,2:21:00 p.m.,9337,BOG,100.0,julio,viernes,2
110,AVA,2024-07-05,6:13:00 a.m.,9725,BOG,82.87,julio,viernes,2
111,AVA,2024-07-05,4:09:00 a.m.,8415,BOG,62.43,julio,viernes,2
112,AVA,2024-07-05,5:06:00 a.m.,8475,BOG,39.78,julio,viernes,2
113,AVA,2024-07-05,7:34:00 a.m.,8427,BOG,57.46,julio,viernes,2
114,AVA,2024-07-05,8:39:00 a.m.,8451,BOG,99.45,julio,viernes,2
115,AVA,2024-07-05,8:59:00 a.m.,9311,BOG,104.97,julio,viernes,2
116,AVA,2024-07-05,10:09:00 a.m.,9351,BOG,95.58,julio,viernes,2
117,AVA,2024-07-05,11:04:00 a.m.,9349,BOG,74.59,julio,viernes,2
118,AVA,2024-07-05,11:52:00 a.m.,9557,BOG,54.14,julio,viernes,2
119,AVA,2024-07-05,12:45:00 p.m.,9329,BOG,97.79,julio,viernes,2
120,AVA,2024-07-05,3:33:00 p.m.,9307,BOG,80.66,julio,viernes,2
121,AVA,2024-07-05,3:19:00 p.m.,9303,BOG,101.1,julio,viernes,2
122,AVA,2024-07-05,5:18:00 p.m.,9377,BOG,101.66,julio,viernes,2
123,AVA,2024-07-05,5:16:00 p.m.,9313,BOG,101.66,julio,viernes,2
124,AVA,2024-07-05,6:58:00 p.m.,9343,BOG,98.9,julio,viernes,2
125,AVA,2024-07-05,5:50:00 p.m.,9309,BOG,105.52,julio,viernes,2
126,AVA,2024-07-05,7:50:00 p.m.,9333,BOG,80.66,julio,viernes,2
127,AVA,2024-07-05,10:33:00 p.m.,9335,BOG,95.58,julio,viernes,2
128,AVA,2024-07-05,9:26:00 p.m.,9331,BOG,93.37,julio,viernes,2
129,AVA,2024-07-05,9:37:00 p.m.,9355,BOG,100.55,julio,viernes,2
130,AVA,2024-07-05,10:31:00 p.m.,9327,BOG,100.55,julio,viernes,2
131,AVA,2024-07-06,8:50:00 a.m.,9463,BOG,79.01,julio,sbado,3
132,AVA,2024-07-06,4:12:00 a.m.,8415,BOG,86.19,julio,sbado,3
133,AVA,2024-07-06,6:15:00 a.m.,9725,BOG,38.12,julio,sbado,3
134,AVA,2024-07-06,4:50:00 a.m.,8475,BOG,20.44,julio,sbado,3
135,AVA,2024-07-06,4:36:00 a.m.,9653,BOG,70.72,julio,sbado,3
136,AVA,2024-07-06,5:31:00 a.m.,9245,BOG,53.04,julio,sbado,3
137,AVA,2024-07-06,5:03:00 a.m.,8435,BOG,41.99,julio,sbado,3
138,AVA,2024-07-06,6:45:00 a.m.,9243,BOG,41.99,julio,sbado,3
139,AVA,2024-07-06,7:39:00 a.m.,8427,BOG,95.58,julio,sbado,3
140,AVA,2024-07-06,8:32:00 a.m.,8451,BOG,88.95,julio,sbado,3
141,AVA,2024-07-06,9:02:00 a.m.,9311,BOG,101.66,julio,sbado,3
142,AVA,2024-07-06,10:30:00 a.m.,9351,BOG,101.1,julio,sbado,3
143,AVA,2024-07-06,1:53:00 p.m.,9301,BOG,98.34,julio,sbado,3
144,AVA,2024-07-06,11:18:00 a.m.,9349,BOG,104.42,julio,sbado,3
145,AVA,2024-07-06,2:45:00 p.m.,9337,BOG,90.06,julio,sbado,3
146,AVA,2024-07-06,3:04:00 p.m.,9303,BOG,88.4,julio,sbado,3
147,AVA,2024-07-06,4:30:00 p.m.,9313,BOG,80.66,julio,sbado,3
148,AVA,2024-07-06,5:21:00 p.m.,9553,BOG,100.55,julio,sbado,3
149,AVA,2024-07-06,5:35:00 p.m.,9309,BOG,99.31,julio,sbado,3
150,AVA,2024-07-06,5:55:00 p.m.,9343,BOG,98.34,julio,sbado,3
151,AVA,2024-07-06,6:39:00 p.m.,9375,BOG,85.64,julio,sbado,3
152,AVA,2024-07-06,6:42:00 p.m.,9333,BOG,90.61,julio,sbado,3
153,AVA,2024-07-06,8:47:00 p.m.,9331,BOG,87.29,julio,sbado,3
154,AVA,2024-07-06,8:55:00 p.m.,9355,BOG,97.24,julio,sbado,3
155,AVA,2024-07-06,10:28:00 p.m.,9335,BOG,92.27,julio,sbado,3
156,AVA,2024-07-07,6:10:00 a.m.,9725,BOG,34.81,julio,domingo,3
157,AVA,2024-07-07,5:05:00 a.m.,8435,BOG,27.62,julio,domingo,3
158,AVA,2024-07-07,4:53:00 a.m.,9653,BOG,50.83,julio,domingo,3
159,AVA,2024-07-07,5:20:00 a.m.,9245,BOG,41.44,julio,domingo,3
160,AVA,2024-07-07,4:10:00 a.m.,8415,BOG,70.72,julio,domingo,3
161,AVA,2024-07-07,7:01:00 a.m.,9243,BOG,83.43,julio,domingo,3
162,AVA,2024-07-07,7:54:00 a.m.,8427,BOG,91.71,julio,domingo,3
163,AVA,2024-07-07,8:00:00 a.m.,9463,BOG,93.37,julio,domingo,3
164,AVA,2024-07-07,9:30:00 a.m.,9557,BOG,96.69,julio,domingo,3
165,AVA,2024-07-07,8:30:00 a.m.,8451,BOG,93.37,julio,domingo,3
166,AVA,2024-07-07,9:00:00 a.m.,9311,BOG,90.06,julio,domingo,3
167,AVA,2024-07-07,10:01:00 a.m.,9351,BOG,88.4,julio,domingo,3
168,AVA,2024-07-07,11:30:00 a.m.,9349,BOG,91.16,julio,domingo,3
169,AVA,2024-07-07,3:38:00 p.m.,9307,BOG,79.56,julio,domingo,3
170,AVA,2024-07-07,1:39:00 p.m.,9301,BOG,101.66,julio,domingo,3
171,AVA,2024-07-07,2:46:00 p.m.,9303,BOG,98.34,julio,domingo,3
172,AVA,2024-07-07,2:08:00 p.m.,9337,BOG,80.11,julio,domingo,3
173,AVA,2024-07-07,4:43:00 p.m.,9313,BOG,98.34,julio,domingo,3
174,AVA,2024-07-07,5:17:00 p.m.,9553,BOG,101.1,julio,domingo,3
175,AVA,2024-07-07,5:58:00 p.m.,9343,BOG,104.97,julio,domingo,3
176,AVA,2024-07-07,6:37:00 p.m.,9375,BOG,97.24,julio,domingo,3
177,AVA,2024-07-07,6:50:00 p.m.,9333,BOG,102.76,julio,domingo,3
178,AVA,2024-07-07,8:01:00 p.m.,9331,BOG,99.45,julio,domingo,3
179,AVA,2024-07-07,8:50:00 p.m.,9355,BOG,95.58,julio,domingo,3
180,AVA,2024-07-07,10:13:00 p.m.,9327,BOG,75.14,julio,domingo,3
181,AVA,2024-07-07,10:32:00 p.m.,9335,BOG,96.69,julio,domingo,3
182,AVA,2024-07-08,8:39:00 a.m.,8451,BOG,100.0,julio,lunes,0
183,AVA,2024-07-08,6:32:00 a.m.,9243,BOG,93.92,julio,lunes,0
184,AVA,2024-07-08,4:04:00 a.m.,8415,BOG,83.98,julio,lunes,0
185,AVA,2024-07-08,5:23:00 a.m.,9245,BOG,79.56,julio,lunes,0
186,AVA,2024-07-08,5:08:00 a.m.,8435,BOG,80.66,julio,lunes,0
187,AVA,2024-07-08,4:48:00 a.m.,8475,BOG,45.86,julio,lunes,0
188,AVA,2024-07-08,6:12:00 a.m.,9725,BOG,99.45,julio,lunes,0
189,AVA,2024-07-08,4:34:00 a.m.,9653,BOG,38.67,julio,lunes,0
190,AVA,2024-07-08,7:54:00 a.m.,9463,BOG,98.9,julio,lunes,0
191,AVA,2024-07-08,9:09:00 a.m.,9311,BOG,99.45,julio,lunes,0
192,AVA,2024-07-08,10:15:00 a.m.,9351,BOG,100.55,julio,lunes,0
193,AVA,2024-07-08,11:51:00 a.m.,9349,BOG,92.27,julio,lunes,0
194,AVA,2024-07-08,12:36:00 p.m.,9329,BOG,101.1,julio,lunes,0
195,AVA,2024-07-08,1:29:00 p.m.,9301,BOG,92.82,julio,lunes,0
196,AVA,2024-07-08,2:02:00 p.m.,9337,BOG,70.17,julio,lunes,0
197,AVA,2024-07-08,2:43:00 p.m.,9303,BOG,92.82,julio,lunes,0
198,AVA,2024-07-08,3:43:00 p.m.,9307,BOG,100.55,julio,lunes,0
199,AVA,2024-07-08,4:35:00 p.m.,9313,BOG,98.9,julio,lunes,0
200,AVA,2024-07-08,5:19:00 p.m.,9553,BOG,92.27,julio,lunes,0
201,AVA,2024-07-08,6:00:00 p.m.,9343,BOG,92.82,julio,lunes,0
202,AVA,2024-07-08,6:24:00 p.m.,9375,BOG,80.66,julio,lunes,0
203,AVA,2024-07-08,6:41:00 p.m.,9333,BOG,93.37,julio,lunes,0
204,AVA,2024-07-08,7:59:00 p.m.,9331,BOG,83.98,julio,lunes,0
205,AVA,2024-07-08,9:58:00 p.m.,9327,BOG,63.54,julio,lunes,0
206,AVA,2024-07-08,10:29:00 p.m.,9335,BOG,72.22,julio,lunes,0
207,AVA,2024-07-09,4:37:00 a.m.,9653,BOG,25.41,julio,martes,1
208,AVA,2024-07-09,4:24:00 a.m.,8415,BOG,75.14,julio,martes,1
209,AVA,2024-07-09,5:05:00 a.m.,8435,BOG,39.78,julio,martes,1
210,AVA,2024-07-09,4:51:00 a.m.,8475,BOG,20.44,julio,martes,1
211,AVA,2024-07-09,6:10:00 a.m.,9725,BOG,78.45,julio,martes,1
212,AVA,2024-07-09,5:23:00 a.m.,9245,BOG,83.43,julio,martes,1
213,AVA,2024-07-09,6:37:00 a.m.,9243,BOG,70.72,julio,martes,1
214,AVA,2024-07-09,7:36:00 a.m.,8427,BOG,91.16,julio,martes,1
215,AVA,2024-07-09,8:11:00 a.m.,9463,BOG,77.35,julio,martes,1
216,AVA,2024-07-09,8:20:00 a.m.,8451,BOG,49.72,julio,martes,1
217,AVA,2024-07-09,8:57:00 a.m.,9311,BOG,95.03,julio,martes,1
218,AVA,2024-07-09,10:12:00 a.m.,9351,BOG,93.37,julio,martes,1
219,AVA,2024-07-09,11:49:00 a.m.,9349,BOG,77.9,julio,martes,1
220,AVA,2024-07-09,12:35:00 p.m.,9329,BOG,87.85,julio,martes,1
221,AVA,2024-07-09,1:25:00 p.m.,9301,BOG,80.11,julio,martes,1
222,AVA,2024-07-09,2:04:00 p.m.,9337,BOG,66.3,julio,martes,1
223,AVA,2024-07-09,2:40:00 p.m.,9303,BOG,71.82,julio,martes,1
224,AVA,2024-07-09,3:40:00 p.m.,9307,BOG,100.0,julio,martes,1
225,AVA,2024-07-09,5:30:00 p.m.,9553,BOG,95.03,julio,martes,1
226,AVA,2024-07-09,5:43:00 p.m.,9309,BOG,86.81,julio,martes,1
227,AVA,2024-07-09,6:04:00 p.m.,9343,BOG,87.29,julio,martes,1
228,AVA,2024-07-09,6:40:00 p.m.,9333,BOG,83.98,julio,martes,1
229,AVA,2024-07-09,6:46:00 p.m.,9375,BOG,74.03,julio,martes,1
230,AVA,2024-07-09,8:00:00 p.m.,9331,BOG,69.61,julio,martes,1
231,AVA,2024-07-09,8:43:00 p.m.,9355,BOG,45.3,julio,martes,1
232,AVA,2024-07-09,9:51:00 p.m.,9327,BOG,48.07,julio,martes,1
233,AVA,2024-07-09,10:24:00 p.m.,9335,BOG,46.41,julio,martes,1
234,AVA,2024-07-10,5:07:00 a.m.,8435,BOG,49.72,julio,mircoles,1
235,AVA,2024-07-10,4:30:00 a.m.,9653,BOG,16.02,julio,mircoles,1
236,AVA,2024-07-10,4:52:00 a.m.,8475,BOG,17.68,julio,mircoles,1
237,AVA,2024-07-10,5:25:00 a.m.,9245,BOG,55.8,julio,mircoles,1
238,AVA,2024-07-10,4:06:00 a.m.,8445,BOG,72.93,julio,mircoles,1
239,AVA,2024-07-10,6:30:00 a.m.,9725,BOG,97.24,julio,mircoles,1
240,AVA,2024-07-10,6:42:00 a.m.,9243,BOG,86.74,julio,mircoles,1
241,AVA,2024-07-10,9:05:00 a.m.,9557,BOG,61.88,julio,mircoles,1
242,AVA,2024-07-10,8:16:00 a.m.,9463,BOG,80.66,julio,mircoles,1
243,AVA,2024-07-10,9:17:00 a.m.,8451,BOG,74.03,julio,mircoles,1
244,AVA,2024-07-10,9:00:00 a.m.,9311,BOG,75.14,julio,mircoles,1
245,AVA,2024-07-10,3:32:00 p.m.,9307,BOG,82.64,julio,mircoles,1
246,AVA,2024-07-10,10:08:00 a.m.,9351,BOG,87.85,julio,mircoles,1
247,AVA,2024-07-10,7:49:00 a.m.,8427,BOG,90.61,julio,mircoles,1
248,AVA,2024-07-10,11:21:00 a.m.,9349,BOG,88.95,julio,mircoles,1
249,AVA,2024-07-10,12:59:00 p.m.,9329,BOG,100.0,julio,mircoles,1
250,AVA,2024-07-10,1:29:00 p.m.,9301,BOG,61.88,julio,mircoles,1
251,AVA,2024-07-10,3:35:00 p.m.,9337,BOG,75.0,julio,mircoles,1
252,AVA,2024-07-10,2:48:00 p.m.,9303,BOG,61.33,julio,mircoles,1
253,AVA,2024-07-10,4:11:00 p.m.,9313,BOG,97.24,julio,mircoles,1
254,AVA,2024-07-10,5:07:00 p.m.,9553,BOG,90.61,julio,mircoles,1
255,AVA,2024-07-10,5:56:00 p.m.,9309,BOG,83.98,julio,mircoles,1
256,AVA,2024-07-10,6:18:00 p.m.,9375,BOG,24.31,julio,mircoles,1
257,AVA,2024-07-10,6:41:00 p.m.,9333,BOG,57.46,julio,mircoles,1
258,AVA,2024-07-10,7:51:00 p.m.,9331,BOG,67.96,julio,mircoles,1
259,AVA,2024-07-10,8:59:00 p.m.,9343,BOG,46.96,julio,mircoles,1
260,AVA,2024-07-10,8:43:00 p.m.,9355,BOG,51.93,julio,mircoles,1
261,AVA,2024-07-10,10:02:00 p.m.,9335,BOG,71.82,julio,mircoles,1
262,AVA,2024-07-11,4:13:00 a.m.,8415,BOG,51.38,julio,jueves,1
263,AVA,2024-07-11,4:52:00 a.m.,8475,BOG,14.92,julio,jueves,1
264,AVA,2024-07-11,5:25:00 a.m.,9245,BOG,71.82,julio,jueves,1
265,AVA,2024-07-11,4:36:00 a.m.,9653,BOG,22.65,julio,jueves,1
266,AVA,2024-07-11,5:08:00 a.m.,8435,BOG,25.41,julio,jueves,1
267,AVA,2024-07-11,6:12:00 a.m.,9725,BOG,96.13,julio,jueves,1
268,AVA,2024-07-11,6:28:00 a.m.,9243,BOG,85.64,julio,jueves,1
269,AVA,2024-07-11,7:27:00 a.m.,8427,BOG,71.27,julio,jueves,1
270,AVA,2024-07-11,8:34:00 a.m.,9463,BOG,71.82,julio,jueves,1
271,AVA,2024-07-11,8:35:00 a.m.,8451,BOG,92.82,julio,jueves,1
272,AVA,2024-07-11,8:54:00 a.m.,9311,BOG,78.45,julio,jueves,1
273,AVA,2024-07-11,11:04:00 a.m.,9349,BOG,102.78,julio,jueves,1
274,AVA,2024-07-11,12:35:00 p.m.,9329,BOG,95.03,julio,jueves,1
275,AVA,2024-07-11,1:26:00 p.m.,9301,BOG,92.82,julio,jueves,1
276,AVA,2024-07-11,2:06:00 p.m.,9337,BOG,88.95,julio,jueves,1
277,AVA,2024-07-11,2:51:00 p.m.,9303,BOG,93.37,julio,jueves,1
278,AVA,2024-07-11,3:53:00 p.m.,9307,BOG,101.1,julio,jueves,1
279,AVA,2024-07-11,5:33:00 p.m.,9553,BOG,98.9,julio,jueves,1
280,AVA,2024-07-11,6:22:00 p.m.,9343,BOG,102.08,julio,jueves,1
281,AVA,2024-07-11,7:33:00 p.m.,9313,BOG,55.25,julio,jueves,1
282,AVA,2024-07-11,7:12:00 p.m.,9375,BOG,97.79,julio,jueves,1
283,AVA,2024-07-11,6:48:00 p.m.,9333,BOG,98.9,julio,jueves,1
284,AVA,2024-07-11,8:05:00 p.m.,9331,BOG,90.61,julio,jueves,1
285,AVA,2024-07-11,8:52:00 p.m.,9355,BOG,67.4,julio,jueves,1
286,AVA,2024-07-11,9:54:00 p.m.,9327,BOG,67.96,julio,jueves,1
287,AVA,2024-07-11,10:50:00 p.m.,9335,BOG,50.28,julio,jueves,1
288,AVA,2024-07-12,8:00:00 a.m.,9463,BOG,85.08,julio,viernes,2
289,AVA,2024-07-12,4:33:00 a.m.,9653,BOG,25.41,julio,viernes,2
290,AVA,2024-07-12,4:53:00 a.m.,8475,BOG,23.2,julio,viernes,2
291,AVA,2024-07-12,5:06:00 a.m.,8435,BOG,30.94,julio,viernes,2
292,AVA,2024-07-12,5:35:00 a.m.,9245,BOG,48.62,julio,viernes,2
293,AVA,2024-07-12,6:36:00 a.m.,9243,BOG,80.66,julio,viernes,2
294,AVA,2024-07-12,6:18:00 a.m.,9725,BOG,72.93,julio,viernes,2
295,AVA,2024-07-12,4:06:00 a.m.,8415,BOG,60.77,julio,viernes,2
296,AVA,2024-07-12,9:38:00 a.m.,9557,BOG,91.16,julio,viernes,2
297,AVA,2024-07-12,7:30:00 a.m.,8427,BOG,87.29,julio,viernes,2
298,AVA,2024-07-12,9:24:00 a.m.,9311,BOG,75.69,julio,viernes,2
299,AVA,2024-07-12,10:55:00 a.m.,9351,BOG,95.03,julio,viernes,2
300,AVA,2024-07-12,11:04:00 a.m.,9349,BOG,98.9,julio,viernes,2
301,AVA,2024-07-12,12:40:00 p.m.,9329,BOG,99.45,julio,viernes,2
302,AVA,2024-07-12,1:23:00 p.m.,9301,BOG,96.69,julio,viernes,2
303,AVA,2024-07-12,2:10:00 p.m.,9337,BOG,90.61,julio,viernes,2
304,AVA,2024-07-12,2:50:00 p.m.,9303,BOG,100.55,julio,viernes,2
305,AVA,2024-07-12,4:38:00 p.m.,9313,BOG,101.66,julio,viernes,2
306,AVA,2024-07-12,5:32:00 p.m.,9307,BOG,26.52,julio,viernes,2
307,AVA,2024-07-12,5:30:00 p.m.,9553,BOG,74.59,julio,viernes,2
308,AVA,2024-07-12,5:53:00 p.m.,9309,BOG,95.58,julio,viernes,2
309,AVA,2024-07-12,6:46:00 p.m.,9375,BOG,85.64,julio,viernes,2
310,AVA,2024-07-12,6:55:00 p.m.,9333,BOG,81.77,julio,viernes,2
311,AVA,2024-07-12,7:01:00 p.m.,9343,BOG,58.56,julio,viernes,2
312,AVA,2024-07-12,7:55:00 p.m.,9331,BOG,91.16,julio,viernes,2
313,AVA,2024-07-12,8:54:00 p.m.,9355,BOG,75.14,julio,viernes,2
314,AVA,2024-07-12,9:55:00 p.m.,9327,BOG,79.56,julio,viernes,2
